id,文献,工艺,醋龄月,发酵天数,温度峰值,总酸,不挥发酸,pH,还原糖,氨基酸态氮,乙酸,乳酸,琥珀酸,焦谷氨酸,柠檬酸,酒石酸,苹果酸,草酸,丙酮酸,天冬氨酸,谷氨酸,丙氨酸,赖氨酸,酪氨酸,色氨酸,甘氨酸,苏氨酸,脯氨酸,乙酸乙酯,乙酸异戊酯,乙偶姻,糠醛,四甲基吡嗪,苯乙醇
LX2022_0d,李信2022,0,0,21.0,43.0,7.19,2.23,3.85,2.36,0.29,5.044,1.106,0.0902,0.103,0.054,0.17,0.0,0.0,0.041,105.1,58.7,131.6,71.5,52.0,0.0,80.5,71.6,18.9,850.0,42.0,119.0,4015.0,509.0,15254.0
LX2022_3d,李信2022,0,0,21.0,43.0,7.2,2.32,3.82,2.3,0.3,5.043,1.125,0.0905,0.104,0.053,0.17,0.0,0.0,0.041,105.1,58.8,131.6,71.5,52.1,0.0,80.5,71.6,19.0,920.0,69.0,317.0,3994.0,688.0,15012.0
LX2022_7d,李信2022,0,0,21.0,43.0,7.23,2.34,3.8,2.28,0.31,5.042,1.126,0.0909,0.105,0.054,0.171,0.0,0.0,0.041,105.2,58.8,131.6,71.5,52.2,0.0,80.5,71.6,19.1,1050.0,125.0,389.0,3982.0,812.0,14894.0
LX2022_15d,李信2022,0,0,21.0,43.0,7.3,2.36,3.78,2.25,0.3,5.032,1.134,0.0912,0.105,0.053,0.172,0.0,0.0,0.041,105.2,58.8,131.7,71.6,52.2,0.0,80.5,71.6,19.1,1202.0,187.0,454.0,4011.0,1332.0,14712.0
LX2022_30d,李信2022,0,0,21.0,43.0,7.35,2.39,3.77,2.24,0.31,5.033,1.136,0.0914,0.105,0.054,0.171,0.0,0.0,0.041,105.2,58.8,131.7,71.6,52.2,0.0,80.5,71.6,19.2,1380.0,203.0,688.0,4023.0,1423.0,14622.0
LGQ2013_AVG22,李国权2013,0,12,20.0,42.0,5.5,2.36,3.65,1.5,,3.194,1.485,0.0837,0.1086,0.463,0.0652,0.0232,0.0232,0.0262,80.0,100.0,150.0,90.0,60.0,0.0,100.0,80.0,30.0,800.0,60.0,200.0,1500.0,100.0,200.0
RENR2023_ZV3_1,任晓荣2023,0,36,,,5.08,1.9,3.2,1.5,0.059,2.0984,1.3431,0.0008,,0.0067,0.4068,0.0049,0.0105,0.0073,0.0961,0.0384,0.7547,0.0306,0.0137,0.0,0.0254,0.0237,0.0951,,,9000.0,,40.0,
RENR2023_ZV3_2,任晓荣2023,0,36,,,5.08,1.7,3.15,1.5,0.063,2.0355,1.0042,0.0002,,0.0067,0.2114,0.0035,0.0492,0.4107,0.089,0.0379,0.784,0.0364,0.0161,0.0,0.0362,0.0186,0.091,,,9000.0,,40.0,
RENR2023_ZV3_3,任晓荣2023,0,36,,,5.08,1.84,3.1,1.5,0.061,2.3111,1.0105,0.0012,,0.0049,0.5076,0.0217,0.0533,0.0749,0.0884,0.0368,0.7589,0.0467,0.0159,0.0,0.0251,0.0395,0.0927,,,9000.0,,40.0,
RENR2023_ZV5_1,任晓荣2023,0,60,,,5.52,1.68,3.45,0.93,0.141,2.3988,1.2939,0.052,,0.0334,0.5238,0.0049,0.0061,0.0049,0.3741,0.762,0.9087,0.3816,0.1672,0.0,0.3734,0.2931,0.1509,,,7000.0,,70.0,
RENR2023_ZV5_2,任晓荣2023,0,60,,,5.52,1.55,3.5,0.93,0.146,2.5139,1.0119,0.0769,,0.0443,0.5157,0.0035,0.0296,0.0334,0.4683,0.7853,0.9235,0.3667,0.1928,0.0,0.2992,0.2471,0.1674,,,7000.0,,70.0,
RENR2023_ZV5_3,任晓荣2023,0,60,,,5.52,0.98,3.4,0.93,0.143,2.0224,1.0029,0.1169,,0.0217,0.2553,0.0026,0.0311,0.179,0.3827,0.827,0.7621,0.3605,0.1082,0.0,0.374,0.301,0.1331,,,7000.0,,70.0,
RENR2023_ZV8_1,任晓荣2023,0,96,,,7.43,2.31,3.71,2.96,0.182,3.2727,1.2118,0.0066,,0.179,0.5892,0.0098,0.0911,0.0521,0.7745,0.4488,1.5519,0.5014,0.1871,0.0,0.3748,0.5257,0.1489,,,5000.0,,108.09,
RENR2023_ZV8_2,任晓荣2023,0,96,,,7.43,2.25,3.71,2.96,0.183,3.2486,0.8141,0.0139,,0.0521,0.5464,0.0026,0.0514,0.3339,0.7128,0.4023,1.4481,0.5444,0.108,0.0,0.4077,0.601,0.1552,,,5000.0,,94.87,
RENR2023_ZV8_3,任晓荣2023,0,96,,,7.43,2.26,3.71,2.96,0.176,3.1308,1.6208,0.0479,,0.0485,0.5706,0.0044,0.062,0.0073,0.6519,0.3184,1.3249,0.3169,0.1379,0.0,0.397,0.5832,0.1792,,,5000.0,,80.0,
