id,PC1,PC2,醋龄月,工艺
LI2025_TF,0.5111439850717711,1.2740281314287314,0,1
LI2025_CF,2.4756172154132714,-0.1993603476093423,0,0
HU2023_手工新醋,0.39111329372617704,1.480603121533187,0,1
HU2023_工业新醋,0.5049391683198893,2.29816208453608,0,0
HU2023_手工3年,0.5248783009381393,-0.25560110827342664,36,1
HU2023_工业3年,0.0345260736217776,0.10191824410556397,36,0
REN2023_ZV3,-0.6808190073814963,-0.7448679929568339,36,1
REN2023_ZV5,0.9302081047437585,-2.1686821670757137,60,1
REN2023_ZV8,2.976532054968345,-1.163963560975929,96,1
WC2020_Day3,-4.1339091683247275,-1.0003419371171236,0,1
WC2020_Day11,-2.3529380436166263,0.4100523873002109,0,1
WC2020_Day21,-1.181291977480277,-0.03194685489540501,0,1
